pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
EURCAD,3D,bullish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-15 01:00:00,2010-01-15 13:00:00,2010-01-22 12:00:00,6.958333333333333,1.48045,1.4733,1.4772,71.5,39.00000000000014,54.54545454545475,1,H1,1.4737,1.4644333333333333,1.4876,1.4876,1.5,92.66666666666757,139.00000000000023,tp,139.00000000000023,1.499999999999988,win,156.4999999999994,72.00000000000095,1.0791366906474718
CADCHF,3D,bearish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:04:00,2010-01-15 08:00:00,2010-01-19 13:00:00,2010-01-21 20:00:00,2.2916666666666665,0.99876,1.00475,1.0033,59.89999999999999,14.499999999999512,24.207011686142764,1,H1,1.00401,1.0115033333333334,0.99277,0.99277,1.5,74.93333333333351,112.40000000000138,tp,112.40000000000138,1.5000000000000149,win,136.10000000000122,1.8999999999991248,1.3345195729537336
USDCHF,3D,bearish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-19 12:00:00,2010-01-20 01:00:00,2010-01-20 13:00:00,0.5,1.03375,1.03845,1.03795,47.0,5.00000000000167,10.638297872343978,1,H1,1.0384,1.0446333333333333,1.02905,1.0446333333333333,1.5,62.33333333333313,93.49999999999967,sl,-62.33333333333313,-1.0,loss,58.00000000000027,66.99999999999928,1.6042780748663157
NZDUSD,3D,bullish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-20 01:00:00,2010-01-20 02:00:00,2010-01-20 10:00:00,0.3333333333333333,0.7324,0.7286,0.73025,38.0,16.499999999999293,43.42105263157709,1,H1,0.7289,0.7229,0.7362000000000001,0.7229,1.2166666666666797,60.00000000000005,73.00000000000084,sl,-60.00000000000005,-1.0,loss,21.999999999999797,86.50000000000045,1.6666666666666654
USDCHF,3D,bearish,direct_touch,2010-02-01 00:00:00,2010-02-04 00:00:00,2010-02-04 01:00:00,2010-02-04 08:00:00,2010-02-05 00:00:00,0.6666666666666666,1.0602,1.06425,1.0623,40.49999999999999,19.499999999998963,48.148148148145594,2,H4,1.0623,1.0683,1.05615,1.0683,1.0250000000000157,60.00000000000005,61.500000000000995,sl,-60.00000000000005,-1.0,loss,24.999999999999467,70.99999999999883,1.6666666666666654
EURAUD,3D,bullish,direct_touch,2010-01-20 00:00:00,2010-01-24 22:00:00,2010-02-11 08:00:00,2010-02-11 14:00:00,2010-02-11 16:00:00,0.0833333333333333,1.54755,1.5417,1.5429,58.5,11.999999999998678,20.51282051281825,1,H1,1.54215,1.5346499999999998,1.5534,1.5346499999999998,1.5,75.00000000000061,112.49999999999982,sl,-75.00000000000061,-1.0,loss,27.500000000000306,84.49999999999847,1.3333333333333226
EURNZD,3D,bullish,direct_touch,2010-02-01 00:00:00,2010-02-04 00:00:00,2010-02-11 00:00:00,2010-02-11 14:00:00,2010-02-16 05:00:00,4.625,1.97232,1.95595,1.96626,163.7,103.0999999999982,62.98106291997446,4,D,1.95887,1.93899,1.98869,1.93899,1.5,198.8000000000012,298.2000000000018,sl,-198.8000000000012,-1.0,loss,69.00000000000128,221.699999999998,0.5030181086519085
EURUSD,3D,bullish,direct_touch,2010-02-07 22:00:00,2010-02-10 00:00:00,2010-02-11 14:00:00,2010-02-11 16:00:00,2010-02-16 16:00:00,5.0,1.36553,1.35816,1.36195,73.69999999999999,37.8999999999996,51.424694708276256,2,H4,1.35932,1.3502666666666667,1.3729,1.3729,1.5,90.53333333333356,135.79999999999924,tp,135.79999999999924,1.4999999999999878,win,159.29999999999998,65.60000000000122,1.1045655375552257
USDCHF,3D,bearish,direct_touch,2010-02-07 22:00:00,2010-02-10 00:00:00,2010-02-11 14:00:00,2010-02-12 08:00:00,2010-02-16 16:00:00,4.333333333333333,1.07445,1.0795,1.07725,50.49999999999999,22.499999999998632,44.55445544554185,3,H4,1.0789,1.0852333333333333,1.0694,1.0694,1.5,63.333333333333016,95.00000000000064,tp,95.00000000000064,1.5000000000000175,win,115.00000000000064,38.000000000000256,1.5789473684210606
EURNZD,3D,bullish,direct_touch,2010-01-20 00:00:00,2010-01-24 22:00:00,2010-02-15 20:00:00,2010-02-17 19:00:00,2010-02-24 08:00:00,6.541666666666667,1.94565,1.92987,1.94138,157.79999999999998,115.1000000000013,72.94043092522263,2,H4,1.93117,1.910996666666667,1.96143,1.96143,1.5,201.73333333333375,302.5999999999995,tp,302.5999999999995,1.4999999999999944,win,338.30000000000024,65.69999999999965,0.495703899537342
USDJPY,3D,bearish,direct_touch,2010-02-04 00:00:00,2010-02-07 22:00:00,2010-02-17 12:00:00,2010-02-17 19:00:00,2010-02-18 22:00:00,1.125,90.85,91.275,91.075,42.5,20.000000000000284,47.05882352941243,3,H4,91.23,91.83,90.425,91.83,1.3416666666666908,59.99999999999943,80.50000000000068,sl,-59.99999999999943,-1.0,loss,66.00000000000108,81.99999999999932,0.0166666666666668
USDCHF,3D,bearish,direct_touch,2010-02-25 00:00:00,2010-02-28 22:00:00,2010-03-01 11:00:00,2010-03-01 15:00:00,2010-03-03 00:00:00,1.375,1.0809,1.0878,1.0848,69.0,30.000000000001137,43.47826086956687,4,H4,1.08675,1.09525,1.074,1.074,1.5,84.99999999999952,127.50000000000038,tp,127.50000000000038,1.500000000000013,win,147.00000000000156,20.999999999999908,1.1764705882353008
EURUSD,3D,bullish,direct_touch,2010-02-25 00:00:00,2010-02-28 22:00:00,2010-03-01 11:00:00,2010-03-02 09:00:00,2010-03-03 00:00:00,0.625,1.35381,1.34484,1.3495,89.7,46.599999999998865,51.95094760312025,3,H4,1.34587,1.3345966666666669,1.36278,1.36278,1.5,112.73333333333244,169.0999999999998,tp,169.0999999999998,1.50000000000001,win,192.00000000000105,24.199999999998667,0.8870490833826208
NZDUSD,3D,bullish,direct_touch,2010-02-25 00:00:00,2010-02-28 22:00:00,2010-03-01 11:00:00,2010-03-04 15:00:00,2010-03-08 14:00:00,3.9583333333333335,0.6939,0.68465,0.68705,92.5,24.00000000000069,25.94594594594669,2,H4,0.68635,0.67515,0.7031499999999999,0.7031499999999999,1.5,111.99999999999989,167.99999999999926,tp,167.99999999999926,1.4999999999999951,win,171.49999999999997,17.599999999999838,0.8928571428571439
GBPCAD,3D,bullish,direct_touch,2010-03-12 00:00:00,2010-03-15 00:00:00,2010-03-15 00:00:00,2010-03-16 07:00:00,2010-04-16 14:00:00,31.291666666666668,1.54202,1.5271,1.53682,149.2,97.20000000000172,65.14745308311109,4,H4,1.529,1.5103733333333331,1.55694,1.55694,1.5,186.2666666666679,279.4000000000008,tp,279.4000000000008,1.4999999999999942,win,309.3000000000012,174.9999999999985,0.536864710093053
EURAUD,3D,bullish,direct_touch,2010-03-12 00:00:00,2010-03-15 00:00:00,2010-03-16 06:00:00,2010-03-17 13:00:00,2010-03-18 21:00:00,1.3333333333333333,1.4945,1.4807,1.49315,138.0,124.50000000000072,90.21739130434835,8,H4,1.4893,1.4766333333333337,1.5083,1.4766333333333337,1.5,126.66666666666605,189.99999999999903,sl,-126.66666666666605,-1.0,loss,21.499999999998742,134.4999999999996,0.7894736842105303
EURNZD,3D,bullish,direct_touch,2010-03-09 00:00:00,2010-03-12 00:01:00,2010-03-16 00:00:00,2010-03-17 13:00:00,2010-03-25 08:00:00,7.791666666666667,1.94625,1.91985,1.94338,264.0,235.3000000000005,89.12878787878807,5,H4,1.92075,1.88615,1.97265,1.88615,1.5,345.9999999999996,519.0000000000006,sl,-345.9999999999996,-1.0,loss,75.49999999999945,345.9999999999996,0.2890173410404627
CADCHF,3D,bearish,direct_touch,2010-03-09 00:00:00,2010-03-12 00:00:00,2010-03-17 13:00:00,2010-03-18 11:00:00,2010-03-19 07:00:00,0.8333333333333334,1.0445,1.0518,1.0454,73.0,63.99999999999961,87.6712328767118,5,H4,1.04915,1.0571166666666667,1.0372,1.0372,1.5,79.66666666666677,119.50000000000126,tp,119.50000000000126,1.500000000000014,win,120.8000000000009,4.999999999999449,1.255230125523011
EURUSD,3D,bullish,direct_touch,2010-03-09 00:00:00,2010-03-12 00:00:00,2010-03-18 15:00:00,2010-03-19 12:00:00,2010-03-24 05:00:00,4.708333333333333,1.36148,1.35337,1.36038,81.1,70.09999999999961,86.43649815043109,4,D,1.35416,1.3438733333333333,1.36959,1.3438733333333333,1.5,102.86666666666775,154.30000000000055,sl,-102.86666666666775,-1.0,loss,26.299999999999105,137.59999999999994,0.972132209980547
